split,seed,strategy,lang,S,D,I,N,records,WER,label
DEV,101,Conf,ar,1296,100,25,5325,295,26.685446009389672,EXACT_REUSE
DEV,101,Global,ar,1287,100,23,5325,295,26.47887323943662,EXACT_REUSE
DEV,101,Text,ar,1226,99,24,5325,295,25.333333333333332,EXACT_REUSE
DEV,101,Text+Global,ar,1226,99,24,5325,295,25.333333333333332,EXACT_REUSE
DEV,101,ConfDupClean,ar,1296,100,25,5325,295,26.685446009389672,POST_REVIEW_DIAGNOSTIC
DEV,101,ConfPerm,ar,1287,100,23,5325,295,26.47887323943662,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Conf,ar,1294,102,24,5325,295,26.666666666666668,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Global,ar,1282,102,23,5325,295,26.422535211267604,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Text,ar,1229,101,24,5325,295,25.427230046948356,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Text+Global,ar,1230,100,24,5325,295,25.427230046948356,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Conf,ar,1287,97,33,5325,295,26.610328638497652,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Global,ar,1270,96,32,5325,295,26.253521126760564,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Text,ar,1182,94,25,5325,295,24.431924882629108,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Text+Global,ar,1183,93,24,5325,295,24.413145539906104,POST_REVIEW_DIAGNOSTIC
DEV,101,Conf,fa,2124,345,438,8170,369,35.58139534883721,EXACT_REUSE
DEV,101,Global,fa,2124,351,435,8170,369,35.618115055079556,EXACT_REUSE
DEV,101,Text,fa,2018,346,355,8170,369,33.280293757649936,EXACT_REUSE
DEV,101,Text+Global,fa,2025,346,353,8170,369,33.34149326805385,EXACT_REUSE
DEV,101,ConfDupClean,fa,2124,345,438,8170,369,35.58139534883721,POST_REVIEW_DIAGNOSTIC
DEV,101,ConfPerm,fa,2124,351,435,8170,369,35.618115055079556,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Conf,fa,2139,353,435,8170,369,35.82619339045288,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Global,fa,2133,355,434,8170,369,35.76499388004896,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Text,fa,2030,341,433,8170,369,34.32068543451653,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Text+Global,fa,2039,346,432,8170,369,34.479804161566705,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Conf,fa,2125,328,448,8170,369,35.50795593635251,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Global,fa,2123,331,453,8170,369,35.58139534883721,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Text,fa,2010,320,486,8170,369,34.467564259485926,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Text+Global,fa,2012,319,396,8170,369,33.378212974296204,POST_REVIEW_DIAGNOSTIC
DEV,101,Conf,pl,768,90,70,5938,338,15.628157628831257,EXACT_REUSE
DEV,101,Global,pl,759,90,70,5938,338,15.476591444930953,EXACT_REUSE
DEV,101,Text,pl,699,88,68,5938,338,14.398787470528797,EXACT_REUSE
DEV,101,Text+Global,pl,692,88,71,5938,338,14.331424722128663,EXACT_REUSE
DEV,101,ConfDupClean,pl,768,90,70,5938,338,15.628157628831257,POST_REVIEW_DIAGNOSTIC
DEV,101,ConfPerm,pl,759,90,70,5938,338,15.476591444930953,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Conf,pl,771,94,67,5938,338,15.695520377231391,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Global,pl,754,93,67,5938,338,15.392388009430785,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Text,pl,701,87,66,5938,338,14.381946783428765,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Text+Global,pl,697,89,65,5938,338,14.331424722128663,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Conf,pl,758,82,87,5938,338,15.611316941731223,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Global,pl,742,77,84,5938,338,15.207140451330414,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Text,pl,671,70,76,5938,338,13.758841360727518,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Text+Global,pl,676,72,77,5938,338,13.893566857527787,POST_REVIEW_DIAGNOSTIC
DEV,101,Conf,tr,648,83,66,5463,338,14.589053633534688,EXACT_REUSE
DEV,101,Global,tr,626,81,64,5463,338,14.113124656781988,EXACT_REUSE
DEV,101,Text,tr,579,76,64,5463,338,13.161266703276588,EXACT_REUSE
DEV,101,Text+Global,tr,581,77,63,5463,338,13.197876624565257,EXACT_REUSE
DEV,101,ConfDupClean,tr,648,83,66,5463,338,14.589053633534688,POST_REVIEW_DIAGNOSTIC
DEV,101,ConfPerm,tr,626,81,64,5463,338,14.113124656781988,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Conf,tr,649,91,65,5463,338,14.735493318689365,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Global,tr,627,87,63,5463,338,14.222954420647996,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Text,tr,576,83,63,5463,338,13.216181585209592,POST_REVIEW_DIAGNOSTIC
DEV,101,A_Text+Global,tr,579,84,62,5463,338,13.271096467142595,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Conf,tr,632,69,73,5463,338,14.168039538714991,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Global,tr,620,66,78,5463,338,13.984989932271645,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Text,tr,575,71,72,5463,338,13.142961742632254,POST_REVIEW_DIAGNOSTIC
DEV,101,B_Text+Global,tr,582,68,74,5463,338,13.25279150649826,POST_REVIEW_DIAGNOSTIC
DEV,101,Conf,it,495,133,56,8758,391,7.810002283626399,EXACT_REUSE
DEV,101,Global,it,492,129,54,8758,391,7.7072390956839465,EXACT_REUSE
DEV,101,Text,it,433,137,50,8758,391,7.079241836035624,EXACT_REUSE
DEV,101,Text+Global,it,442,134,49,8758,391,7.136332496003654,EXACT_REUSE
