split,strategy,macro_WER,checkpoint_SD,seed101,seed202,seed303
DEV,Conf,19.872447588714937,0.2108285027421579,20.058810980843848,19.91491312676955,19.64361865853141
DEV,Global,19.68640220824849,0.21535748479471298,19.878788698382614,19.726661977320028,19.453755949042826
DEV,Text,18.58490688847812,0.05871524601224884,18.650584620164857,18.56663877363264,18.53749727163686
DEV,Text+Global,18.563317249970776,0.10074999021969451,18.66809208881695,18.55471607710797,18.467143583987415
DEV,ConfDupClean,19.869183614826728,0.2099161711804306,20.058810980843848,19.905121205104926,19.64361865853141
DEV,ConfPerm,19.68558621477644,0.21513318820418742,19.878788698382614,19.724213996903874,19.453755949042826
DEV,A_Conf,20.006438358865598,0.13243668439442172,20.153626086529503,19.96877922742781,19.896909762639485
DEV,A_Global,19.768504696195013,0.11879619414047718,19.88375311222609,19.77530787128642,19.64645310507254
DEV,A_Text,18.828956051576508,0.06690203477477508,18.887340763626494,18.755953864393025,18.843573526710003
DEV,A_Text+Global,18.814515072059972,0.10003128518089321,18.910908567568224,18.711204999848718,18.821431648762964
DEV,B_Conf,19.804624021628594,0.0909060679105534,19.909557898202458,19.754518088073485,19.749796078609833
DEV,B_Global,19.58597578975468,0.09797707797857216,19.698901036603612,19.53546499607408,19.523561336586347
DEV,B_Text,18.367176014097968,0.13403037496444617,18.505314397941728,18.237671057972385,18.358542586379794
DEV,B_Text+Global,18.337299171235074,0.03264048272254899,18.309763060505226,18.32877994173247,18.37335451146752
TEST,Conf,18.937926547839403,0.28535398514562654,18.65815664122549,19.228554648099784,18.927068354192933
TEST,Global,18.796879136777658,0.2625398385627739,18.570656389460446,19.0847606974813,18.73522032339123
TEST,Text,17.810461235319227,0.25962367186904706,17.572756367367056,18.087512113689204,17.77111522490142
TEST,Text+Global,17.80174796314836,0.23758918590787023,17.589228000949397,18.058257970905338,17.75775791759035
TEST,ConfDupClean,18.937926547839403,0.28535398514562654,18.65815664122549,19.228554648099784,18.927068354192933
TEST,ConfPerm,18.79712540338726,0.26115275422251594,18.57275776503184,19.0837945605797,18.73482388455024
TEST,A_Conf,18.960218044687387,0.2672397196317685,18.70732755377448,19.239803315784552,18.93352326450313
TEST,A_Global,18.820021310355532,0.24334741617314118,18.61183691698844,19.087552819099933,18.760674194978215
TEST,A_Text,17.930552440041485,0.2707235968314282,17.69084835328609,18.224179421128614,17.876629545709747
TEST,A_Text+Global,17.902942733016026,0.2696341462301161,17.662697862651335,18.19457136199566,17.85155897440108
TEST,B_Conf,18.857276730679025,0.25294377065594026,18.602475749880742,19.108321453664324,18.861032988492006
TEST,B_Global,18.63308775432399,0.1938030726091279,18.46404029026085,18.844603010179416,18.5906199625317
TEST,B_Text,17.46871028156264,0.20870835654703007,17.252325074377765,17.668784655252477,17.485021115057677
TEST,B_Text+Global,17.455536706737465,0.20724403740379188,17.249449135227444,17.66391816709777,17.45324281788719
CV27,Conf,35.29834902360739,0.6527785551207272,35.34804698876732,34.62214190127655,35.92485818077831
CV27,Global,35.115991646933786,0.6396232863507239,35.20557496331607,34.4362991535632,35.7061008239221
CV27,Text,33.91170431901323,0.6464912587146651,33.99710779391698,33.226756030422116,34.51124913270059
CV27,Text+Global,33.90131879705567,0.6393956293837469,33.973860423031084,33.22874612547358,34.50134984266235
CV27,ConfDupClean,35.29875773347556,0.6522945666176021,35.3483186983641,34.62309632128429,35.92485818077831
CV27,ConfPerm,35.11490526180888,0.6393815854623852,35.20649066454066,34.434669578502735,35.703555542383235
CV27,A_Conf,35.27993608508019,0.6515066803463445,35.34153661687103,34.5998169565308,35.898454681838714
CV27,A_Global,35.06200656479546,0.6472362364090425,35.1472002297003,34.37639241117975,35.66242705350631
CV27,A_Text,33.83464649634099,0.6490307485551158,33.89519525059147,33.15746308477655,34.45128115365494
CV27,A_Text+Global,33.8115914432145,0.6455298093700573,33.87878122040241,33.13509462962232,34.42089847961877
CV27,B_Conf,35.16176948685348,0.6276299396944082,35.30189439009736,34.47592046520994,35.707493605253156
CV27,B_Global,34.82391377116249,0.6545434006329126,34.98577381573101,34.103626213698334,35.382341284058114
CV27,B_Text,33.580720302843815,0.6601335375508385,33.59191919131367,32.91505856906936,34.235183148148415
CV27,B_Text+Global,34.46230136169721,0.9523086973493972,34.76165071276647,33.396283775698315,35.22896959662684
