physical_gpu,partition,recording_index,repetition,system,split,lang,quintile,original_duration_seconds,processed_duration_seconds,elapsed_seconds,model_placement_seconds_excluded,allocator_cache_cleared_before_timer,peak_allocated_bytes,peak_reserved_bytes,actual_candidates,selected_index,body_tokens,PLL_target_tokens,source_run,external_processes_before,external_processes_after,external_GPU_memory_MiB_before,external_GPU_memory_MiB_after
2,0,52,0,Global,TEST,pl,3,10.68,10.68,1.799126329831779,0.9371604574844241,True,872952832,933232640,2,0,42,0,IR-COST-P0_attempt0,0,0,0,0
2,0,52,0,Text,TEST,pl,3,10.68,10.68,1.7508626729249954,0.25519570894539356,True,2206979584,2308964352,2,0,42,58,IR-COST-P0_attempt0,0,0,0,0
2,0,52,0,Text+Global,TEST,pl,3,10.68,10.68,1.8026147475466132,0.019591711461544037,True,2206979584,2308964352,2,0,42,58,IR-COST-P0_attempt0,0,0,0,0
2,0,52,0,B5,TEST,pl,3,10.68,10.68,0.9130834117531776,0.9421741254627705,True,873433600,935329792,1,0,42,0,IR-COST-P0_attempt0,0,0,0,0
2,0,52,0,Conf,TEST,pl,3,10.68,10.68,1.7197031918913126,0.018809989094734192,True,872952832,933232640,2,0,42,0,IR-COST-P0_attempt0,0,0,0,0
2,0,52,1,Text,TEST,pl,3,10.68,10.68,1.7438580449670553,0.26475065387785435,True,2206979584,2308964352,2,0,42,58,IR-COST-P0_attempt0,0,0,0,0
2,0,52,1,Text+Global,TEST,pl,3,10.68,10.68,1.7991471234709024,0.019654803909361362,True,2206979584,2308964352,2,0,42,58,IR-COST-P0_attempt0,0,0,0,0
2,0,52,1,B5,TEST,pl,3,10.68,10.68,0.9429342625662684,0.9491930706426501,True,873433600,935329792,1,0,42,0,IR-COST-P0_attempt0,0,0,0,0
2,0,52,1,Conf,TEST,pl,3,10.68,10.68,1.7333211107179523,0.01964316889643669,True,872952832,933232640,2,0,42,0,IR-COST-P0_attempt0,0,0,0,0
2,0,52,1,Global,TEST,pl,3,10.68,10.68,1.7751101907342672,0.018653787672519684,True,872952832,933232640,2,0,42,0,IR-COST-P0_attempt0,0,0,0,0
2,0,52,2,Text+Global,TEST,pl,3,10.68,10.68,1.83990066498518,0.25965385790914297,True,2206979584,2308964352,2,0,42,58,IR-COST-P0_attempt0,0,0,0,0
2,0,52,2,B5,TEST,pl,3,10.68,10.68,0.9212881894782186,0.9697358245030046,True,873433600,935329792,1,0,42,0,IR-COST-P0_attempt0,0,0,0,0
2,0,52,2,Conf,TEST,pl,3,10.68,10.68,1.7299782168120146,0.018861881457269192,True,872952832,933232640,2,0,42,0,IR-COST-P0_attempt0,0,0,0,0
