split,seed,label,unit,strategy,lang,S,D,I,N,records,WER,cost_component,cost_seconds
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,ar,1298,91,33,5325,295,26.704225352112676,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,ar,1297,96,31,5325,295,26.741784037558684,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,ar,1382,93,33,5325,295,28.31924882629108,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,ar,1296,100,25,5325,295,26.685446009389672,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,ar,1287,100,23,5325,295,26.47887323943662,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,ar,1287,101,23,5325,295,26.497652582159624,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Shuffled,ar,1299,100,25,5325,295,26.741784037558684,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,ar,1117,79,22,5325,295,22.87323943661972,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,G,ar,1377,93,33,5325,295,28.225352112676056,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,ar,1294,95,32,5325,295,26.685446009389672,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,ar,1289,95,32,5325,295,26.591549295774648,,
DEV,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,ar,1226,99,24,5325,295,25.333333333333332,,
DEV,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,ar,1226,99,24,5325,295,25.333333333333332,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,fa,2131,312,499,8170,369,36.00979192166463,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,fa,2143,325,453,8170,369,35.752753977968176,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,fa,2197,331,460,8170,369,36.57282741738066,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,fa,2124,345,438,8170,369,35.58139534883721,,
DEV,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,fa,2124,351,435,8170,369,35.618115055079556,,
