split,seed,label,unit,strategy,lang,S,D,I,N,records,WER,cost_component,cost_seconds
TEST,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,ar,1893,139,65,8007,428,26.189584113900338,,
TEST,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,ar,1885,140,64,8007,428,26.089671537404772,,
TEST,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,ar,1795,136,66,8007,428,24.940676907705758,,
TEST,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,ar,1794,136,63,8007,428,24.890720619457973,,
TEST,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,fa,5020,741,583,20113,871,31.54178889275593,,
TEST,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,fa,5015,744,579,20113,871,31.511957440461394,,
TEST,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,fa,4797,746,562,20113,871,30.35350270969025,,
TEST,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,fa,4801,747,563,20113,871,30.383334161984784,,
TEST,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,pl,1772,221,175,14380,758,15.076495132127956,,
TEST,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,pl,1758,219,172,14380,758,14.944367176634215,,
TEST,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,pl,1640,211,165,14380,758,14.019471488178025,,
TEST,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,pl,1643,212,162,14380,758,14.026425591098748,,
TEST,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,tr,1414,157,133,12963,743,13.145105299699143,,
TEST,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,tr,1401,160,129,12963,743,13.037105608269691,,
TEST,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,tr,1272,149,122,12963,743,11.903108848260434,,
TEST,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,tr,1273,153,125,12963,743,11.964822957648693,,
TEST,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,it,1106,285,128,20701,865,7.337809767644075,,
TEST,101,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,it,1090,291,124,20701,865,7.2701801845321485,,
TEST,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,it,973,283,120,20701,865,6.647021883000821,,
TEST,101,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,it,976,284,123,20701,865,6.680836674556785,,
TEST,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,ar,1898,136,196,8007,428,27.850630698139128,,
TEST,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,ar,1891,136,197,8007,428,27.775696265767454,,
TEST,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,ar,1798,134,191,8007,428,26.514299987510928,,
TEST,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,ar,1796,133,191,8007,428,26.47683277132509,,
TEST,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,fa,5019,768,645,20113,871,31.979316859742454,,
TEST,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,fa,5004,773,641,20113,871,31.90971013772187,,
TEST,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,fa,4804,766,637,20113,871,30.86063739869736,,
TEST,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,fa,4794,764,638,20113,871,30.805946402824045,,
TEST,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,pl,1785,237,179,14380,758,15.305980528511823,,
TEST,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,pl,1761,240,175,14380,758,15.132127955493742,,
TEST,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,pl,1654,229,158,14380,758,14.193324061196106,,
TEST,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,pl,1643,228,160,14380,758,14.123783031988873,,
TEST,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,tr,1448,165,137,12963,743,13.499961428681633,,
TEST,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,tr,1422,168,135,12963,743,13.307104836843322,,
TEST,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,tr,1299,159,127,12963,743,12.227107922548793,,
TEST,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,tr,1297,161,129,12963,743,12.242536449895857,,
TEST,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,it,1139,281,134,20701,865,7.506883725423893,,
TEST,202,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,it,1098,282,131,20701,865,7.299164291580117,,
TEST,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,it,994,269,112,20701,865,6.642191198492826,,
TEST,202,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,it,987,276,112,20701,865,6.642191198492826,,
TEST,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,ar,1854,142,71,8007,428,25.814911952041964,,
TEST,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,ar,1840,144,71,8007,428,25.665043087298614,,
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,ar,1749,142,70,8007,428,24.49107031347571,,
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,ar,1747,142,70,8007,428,24.466092169351818,,
TEST,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,fa,5073,761,764,20113,871,32.80465370655795,,
TEST,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,fa,5057,763,762,20113,871,32.72510316710585,,
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,fa,4862,754,755,20113,871,31.67603042808134,,
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,fa,4855,757,754,20113,871,31.65117088450256,,
TEST,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,pl,1763,226,183,14380,758,15.104311543810848,,
TEST,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,pl,1724,222,176,14380,758,14.756606397774688,,
